node_id,pdr,latency,energy,lifetime
1,0.92,92.43,3.2219,495.64
2,0.6573,29.63,4.7112,249.58
3,0.8718,182.43,0.4677,556.28
4,0.9121,41.74,2.6085,837.13
5,0.8245,90.66,4.3225,181.1
6,0.7287,208.29,3.9805,820.06
7,0.7193,217.4,3.2645,608.61
8,0.9162,105.82,0.3003,630.41
9,0.7092,183.49,1.9935,278.29
10,0.6809,62.79,3.1412,492.51
11,0.8899,135.45,1.7185,366.31
12,0.9837,199.59,2.8666,133.8
13,0.6514,122.26,3.7367,127.62
14,0.8293,133.94,0.9596,507.79
15,0.9344,18.25,0.3726,770.38
16,0.8644,85.01,1.9242,601.57
17,0.9026,26.72,0.6835,446.6
18,0.7522,74.15,1.0661,251.27
19,0.9712,79.45,4.8835,854.44
20,0.9001,172.5,2.073,639.15
21,0.8399,18.39,1.2814,804.44
22,0.6998,100.19,4.1635,863.66
23,0.7807,76.13,0.6771,642.85
24,0.8859,143.66,4.1209,802.95
25,0.8046,82.73,2.6368,654.16
26,0.8019,19.05,3.3306,119.05
27,0.8662,194.78,0.8971,775.42
28,0.8296,170.28,1.0938,258.44
29,0.8776,194.4,3.5834,512.66
30,0.8604,97.68,0.3626,561.81
31,0.9318,137.17,1.4425,535.62
32,0.8326,117.83,3.029,859.95
33,0.968,135.55,1.3246,257.33
34,0.7617,65.07,2.1596,113.17
35,0.6817,73.18,5.0801,863.89
36,0.7552,15.33,5.0969,768.41
37,0.6899,73.64,3.1604,511.03
38,0.94,60.84,2.9807,475.21
39,0.6664,127.09,0.1802,205.06
40,0.8692,128.76,5.3807,404.81
41,0.8417,109.78,3.1944,185.19
42,0.9368,71.49,4.3755,744.25
43,0.7196,23.49,3.1324,169.38
44,0.9499,215.55,4.8376,285.36
45,0.7731,81.34,3.2547,616.4
46,0.9141,113.96,3.9278,364.45
47,0.7536,215.19,0.9021,690.15
48,0.9594,102.56,2.4136,823.21
49,0.7639,76.84,3.847,416.09
50,0.7078,119.16,0.6649,184.1
