node_id,pdr,latency,energy,lifetime
1,0.7811,213.61,0.2697,917.44
2,0.9828,172.78,3.5366,315.61
3,0.9062,207.29,1.7975,230.41
4,0.8595,197.91,2.8463,540.51
5,0.7046,135.56,5.0009,987.09
6,0.7046,203.59,1.4462,317.85
7,0.6703,28.58,2.3161,704.92
8,0.9532,51.16,4.18,785.46
9,0.8604,19.5,1.3355,313.87
10,0.8978,78.32,0.5157,755.39
11,0.6572,91.62,1.6647,431.0
12,0.9895,66.98,0.9706,669.08
13,0.9414,184.03,5.1204,670.18
14,0.7243,84.92,4.4639,582.2
15,0.7136,69.0,3.5204,181.26
16,0.7142,123.97,4.8059,851.77
17,0.7565,39.59,4.4398,388.7
18,0.8337,178.46,1.1075,267.87
19,0.8012,25.66,4.9198,136.7
20,0.7519,217.25,3.0124,631.8
21,0.8641,172.17,4.4602,709.81
22,0.6988,51.73,4.9389,114.93
23,0.7523,11.16,1.8172,560.88
24,0.7782,181.25,0.6943,303.85
25,0.8096,158.44,1.3308,680.66
26,0.9248,163.09,2.4064,256.93
27,0.7199,171.97,4.5173,721.84
28,0.83,25.55,4.7479,448.06
29,0.8573,85.28,0.1375,943.06
30,0.6663,34.33,2.858,223.77
31,0.8626,191.25,2.354,406.96
32,0.7097,140.89,1.2994,202.13
33,0.6728,79.49,0.7473,932.22
34,0.9821,23.35,1.9231,889.61
35,0.988,75.31,5.1917,332.15
36,0.9329,78.29,1.8453,693.99
37,0.7566,163.22,2.9015,835.5
38,0.6842,143.89,3.8963,599.68
39,0.8895,196.31,2.0636,576.69
40,0.8041,109.17,5.3476,317.67
41,0.6927,35.11,5.2972,183.79
42,0.8233,159.78,1.4596,907.49
43,0.662,169.76,2.7851,910.38
44,0.9683,127.87,1.7247,669.79
45,0.7406,171.9,1.6381,405.13
46,0.8819,113.7,0.2992,414.29
47,0.7591,119.77,3.3916,753.36
48,0.832,99.78,2.8145,907.4
49,0.8413,15.34,0.378,898.38
50,0.7147,32.66,1.6047,801.89
